age,q
1, 0.001670 
2, 0.001670 
3, 0.001330 
4, 0.001060 
5, 0.000840 
6, 0.000670 
7, 0.000540 
8, 0.000460 
9, 0.000410 
10, 0.000400 
11, 0.000420 
12, 0.000470 
13, 0.000540 
14, 0.000620 
15, 0.000710 
16, 0.000790 
17, 0.000860 
18, 0.000910 
19, 0.000940 
20, 0.000970 
21, 0.001000 
22, 0.001040 
23, 0.001100 
24, 0.001170 
25, 0.001230 
26, 0.001280 
27, 0.001310 
28, 0.001300 
29, 0.001270 
30, 0.001230 
31, 0.001180 
32, 0.001140 
33, 0.001130 
34, 0.001140 
35, 0.001170 
36, 0.001220 
37, 0.001290 
38, 0.001390 
39, 0.001510 
40, 0.001660 
41, 0.001820 
42, 0.002010 
43, 0.002210 
44, 0.002440 
45, 0.002690 
46, 0.002960 
47, 0.003250 
48, 0.003560 
49, 0.003910 
50, 0.004300 
51, 0.004740 
52, 0.005250 
53, 0.005830 
54, 0.006480 
55, 0.007170 
56, 0.007890 
57, 0.008630 
58, 0.009380 
59, 0.010160 
60, 0.011000 
61, 0.011940 
62, 0.013000 
63, 0.014210 
64, 0.015590 
65, 0.017150 
66, 0.018910 
67, 0.020880 
68, 0.023070 
69, 0.025540 
70, 0.028350 
71, 0.031550 
72, 0.035200 
73, 0.039360 
74, 0.044080 
75, 0.049420 
76, 0.055420 
77, 0.062140 
78, 0.069660 
79, 0.078220 
80, 0.088090 
81, 0.099570 
82, 0.112940 
83, 0.128480 
84, 0.146470 
85, 0.167200 
86, 0.190960 
87, 0.218110 
88, 0.248670 
89, 0.283200 
90, 0.321880 
91, 0.365010 
92, 0.412870 
93, 0.465740 
94, 0.523900 
95, 0.587650 
96, 0.657260 
97, 0.733010 
98, 0.815190 
99, 0.904100 
100, 1.000000 
